NAxe	NTrace	Xsque	Ysque	U	V	Distance	date1	date2	marqueur	incert	prj_tdc	leve	product	NomTDC[itdc]	Nbcoup
1	58	828222.881	6256442.219	-0.344	0.939	-222.071	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	58	828222.881	6256442.219	-0.344	0.939	213.393	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	58	828222.881	6256442.219	-0.344	0.939	207.432	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	59	828129.031	6256407.691	-0.347	0.938	161.588	20160702141943	20160702142017	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	59	828129.031	6256407.691	-0.347	0.938	-213.456	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	59	828129.031	6256407.691	-0.347	0.938	169.943	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	59	828129.031	6256407.691	-0.347	0.938	164.292	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	60	828035.2	6256373.112	-0.346	0.938	-211.252	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	60	828035.2	6256373.112	-0.346	0.938	129.66	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	60	828035.2	6256373.112	-0.346	0.938	129.49	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	61	827941.387	6256338.484	-0.36	0.933	-237.279	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	61	827941.387	6256338.484	-0.36	0.933	106.758	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	61	827941.387	6256338.484	-0.36	0.933	101.045	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	62	827850.26	6256297.387	-0.431	0.903	-226.54	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	62	827850.26	6256297.387	-0.431	0.903	90.681	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	62	827850.26	6256297.387	-0.431	0.903	82.807	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	63	827760.003	6256254.333	-0.431	0.902	-246.255	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	63	827760.003	6256254.333	-0.431	0.902	81.96	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	63	827760.003	6256254.333	-0.431	0.902	71.974	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	64	827669.746	6256211.279	-0.43	0.903	-261.73	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	64	827669.746	6256211.279	-0.43	0.903	77.547	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	64	827669.746	6256211.279	-0.43	0.903	66.588	2013	0	3	10	L93	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	65	827579.489	6256168.225	-0.431	0.903	-286.428	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	65	827579.489	6256168.225	-0.431	0.903	88.344	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	65	827579.489	6256168.225	-0.431	0.903	291.357	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	2
